Number	sp	SITE	FIRE_AGE	FIRE_SEVERITY	BLOCK	TREATMENT	TRANSECT_COMBO	transect	FIELD_NO	ORDER	FAMILY	GENUS	SUB_GENUS	SPECIES	SEX	FLOWER_CODE	USDA_CODE	FLOWER_SPECIES	COUNTRY	STATE	COUNTY	LATITUDE	LONGITUDE	DATE	TIME	COLLECTOR	DETERMINED_BY	NOTES	VERIFIED_BY	value	yr	newID	Idlevel
4036	Hoplitis__albifrons.argentifrons	HE	NEW	HI	2	HENEWHI	HENEWHI2_8	HEHI2_8	3ES6515	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	M	BALSAG	BASA3	Balsamorhiza sagittata	USA	MT	Lewis & Clark Co.	46.71	-111.73	06/05/2015	01:00:00 PM	E.Sawyer	E.G.Reese	MED BEE BLACK STRIPE		1	2015	Hoplitis__albifrons.argentifrons	s
4037	Hoplitis__albifrons.argentifrons	PV	MX	MX	1	PVMX	PVMX1_6	PVMX1_6	283CQ	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	F	CHAANG	CHAN9	Chamerion angustifolium	USA	MT	Park Co.	45.26	-110.48	08/03/2014	10:40:00 AM	C.Qubain	T.Griswold			1	2014	Hoplitis__albifrons.argentifrons	s
4038	Hoplitis__albifrons.argentifrons	HE	MX	MX	1	HEMX	HEMX1_3	HEMX1_3	15621CQ	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	M	APOAND	APAN2	Apocynum androsaemifolium	USA	MT	Lewis & Clark Co.	46.7	-111.72	06/21/2014	03:30:00 PM	C.Qubain	T.Griswold			1	2014	Hoplitis__albifrons.argentifrons	s
4039	Hoplitis__albifrons.argentifrons	HE	MX	MX	2	HEMX	HEMX2_7	HEMX2_7	67730LR	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	F	CARNUT	CANU4	Carduus nutans	USA	MT	Lewis & Clark Co.	46.69	-111.71	07/30/2014	06:27:00 PM	L.Roberts	T.Griswold			1	2014	Hoplitis__albifrons.argentifrons	s
4040	Hoplitis__albifrons.argentifrons	PV	MX	MX	1	PVMX	PVMX1_3	PVMX1_3	1183JW	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	F	CHAANG	CHAN9	Chamerion angustifolium	USA	MT	Park Co.	45.26	-110.48	08/03/2014	11:20:00 AM	J.Wray	T.Griswold			1	2014	Hoplitis__albifrons.argentifrons	s
4041	Hoplitis__albifrons.argentifrons	PV	MX	MX	2	PVMX	PVMX2_3	PVMX2_3	3077CQ	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	M	HEDSUL	HESU	Hedysarum sulphurescens	USA	MT	Park Co.	45.26	-110.47	07/07/2014	04:10:00 PM	C.Qubain	T.Griswold			1	2014	Hoplitis__albifrons.argentifrons	s
4042	Hoplitis__albifrons.argentifrons	HE	UN	UN	1	HEUN	HEUN1_2	HEUN1_2	12LB6415	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	M	MELOFF	MEOF	Melilotus officinalis	USA	MT	Lewis & Clark Co.	46.74	-111.76	06/04/2015	03:40:00 PM	L.Burkle	E.G.Reese	MED BEE		1	2015	Hoplitis__albifrons.argentifrons	s
4043	Hoplitis__albifrons.argentifrons	HE	MX	MX	2	HEMX	HEMX2_5	HEMX2_5	47LH6915	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	M	PENERI	PEER	Penstemon eriantherus	USA	MT	Lewis & Clark Co.	46.69	-111.71	06/09/2015	04:35:00 PM	L.Hamburg	E.G.Reese	M BEE		1	2015	Hoplitis__albifrons.argentifrons	s
4044	Hoplitis__albifrons.argentifrons	PV	MX	MX	1	PVMX	PVMX1_2	PVMX1_2	15729CQ	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	F	CHAANG	CHAN9	Chamerion angustifolium	USA	MT	Park Co.	45.26	-110.48	07/29/2014	02:00:00 PM	C.Qubain	T.Griswold			1	2014	Hoplitis__albifrons.argentifrons	s
4045	Hoplitis__albifrons.argentifrons	PV	NEW	HI	2	PVNEWHI	PVNEWHI2_9	PVHI2_9	17716JW	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	F	CHAANG	CHAN9	Chamerion angustifolium	USA	MT	Park Co.	45.26	-110.49	07/16/2014	03:15:00 PM	J.Wray	T.Griswold			1	2014	Hoplitis__albifrons.argentifrons	s
4046	Hoplitis__albifrons.argentifrons	PV	MX	MX	1	PVMX	PVMX1_2	PVMX1_2	21715CQ	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	F	CHAANG	CHAN9	Chamerion angustifolium	USA	MT	Park Co.	45.26	-110.48	07/15/2014	12:50:00 PM	C.Qubain	T.Griswold			1	2014	Hoplitis__albifrons.argentifrons	s
